Date,Antrim and Newtownabbey,"Armagh City, Banbridge and Craigavon",Belfast,Causeway Coast and Glens,Derry City and Strabane,Fermanagh and Omagh,Lisburn and Castlereagh,Mid and East Antrim,Mid Ulster,"Newry, Mourne and Down",Ards and North Down
2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,12.632288128456334,16.81535802699799,28.080274484683088,3.466300625320633,3.3183124390260086,15.406342277570934,24.934028715689735,12.970822854589871,3.392314372557534,2.7775926049374484,20.514223194748357
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,11.228700558627853,7.940585734971274,18.720182989788725,4.15956075038476,11.945924780493632,7.703171138785467,20.77835726307478,7.206012696994373,7.463091619626574,19.99866675554963,11.811219415158146
2020-03-31,1.4035875698284817,4.203839506749498,1.755017155292693,3.466300625320633,0.6636624878052018,1.7118158086189925,2.7704476350766374,2.882405078797749,0.6784628745115068,1.666555562962469,5.59478814402228
2020-04-04,16.141257053027537,13.545705077303937,31.005303076837578,3.466300625320633,7.300287365857219,9.41498694740446,27.011864441997215,10.08841777579212,4.07077724706904,9.443814856787325,12.432862542271732
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,7.719731634056649,8.407679013498996,30.712800217622128,3.466300625320633,10.618599804883228,1.7118158086189925,14.544850084152348,9.367816506092684,6.784628745115068,8.332777814812346,13.05450566938532
