Specimen date,Blaenau Gwent,Bridgend,Caerphilly,Cardiff,Carmarthenshire,Ceredigion,Conwy,Denbighshire,Flintshire,Gwynedd,Isle of Anglesey,Merthyr Tydfil,Monmouthshire,Neath Port Talbot,Newport,Pembrokeshire,Powys,Rhondda Cynon Taf,Swansea,Torfaen,Vale of Glamorgan,Wrexham
2020-03-11,1.4000000000000001,0.0,1.7000000000000002,1.1,1.6,0.0,0.0,0.0,0.6000000000000001,0.0,1.4000000000000001,0.0,1.1,7.7,1.3,0.0,2.3000000000000003,0.0,1.2000000000000002,0.0,0.0,0.7000000000000001
2020-03-12,1.5000000000000002,0.0,2.2,0.30000000000000004,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2.1,1.3999999999999995,0.0,0.8,1.5,0.0,3.7,0.0,0.0,0.0
2020-03-13,4.3,0.7000000000000001,2.2,0.0,1.6,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7000000000000011,1.9000000000000001,0.0,3.0000000000000004,0.8,1.2000000000000002,2.1,0.0,0.0
2020-03-14,1.3999999999999995,0.0,1.5999999999999996,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.5000000000000002,0.0,2.1000000000000005,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.7999999999999999
2020-03-15,4.300000000000001,0.0,2.8,1.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999999999999996,0.6999999999999993,8.400000000000002,0.0,0.0,0.0,0.39999999999999947,1.1,0.0,0.0
2020-03-16,1.4000000000000004,1.2999999999999998,4.4,1.8999999999999995,0.6000000000000005,0.0,0.0,0.0,0.0,0.8,0.0,3.3000000000000003,2.0999999999999996,0.0,7.100000000000001,0.0,0.0,0.0,0.40000000000000036,1.0999999999999996,0.0,0.0
2020-03-17,2.8999999999999986,0.0,2.799999999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200000000000001,0.7000000000000011,7.099999999999998,0.0,0.0,0.0,0.40000000000000036,2.1000000000000005,0.0,0.0
2020-03-18,1.4000000000000021,0.0,2.200000000000003,1.9000000000000004,1.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.0,0.0,5.299999999999999,0.6999999999999993,3.900000000000002,0.0,0.0,0.0,0.7999999999999989,3.200000000000001,1.5,0.0
2020-03-19,2.8999999999999986,0.0,3.3000000000000007,4.1,0.5999999999999996,0.0,0.0,0.0,0.0,0.7999999999999998,0.0,1.6999999999999997,9.5,0.7000000000000011,5.199999999999996,0.0,0.0,0.40000000000000013,1.6000000000000014,8.5,1.5,0.7000000000000002
2020-03-20,11.399999999999999,2.8000000000000007,2.1999999999999993,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300000000000004,1.3999999999999986,11.600000000000001,0.0,1.5,2.5,1.5999999999999996,5.300000000000001,0.7999999999999998,0.7000000000000002
2020-03-21,2.9000000000000057,2.6999999999999993,5.0,3.5,1.5999999999999996,4.1,0.0,1.0,1.3,0.0,0.0,1.6000000000000005,5.299999999999997,2.0,10.300000000000004,1.6000000000000003,0.0,0.40000000000000036,0.8000000000000007,2.099999999999998,3.700000000000001,0.7999999999999998
2020-03-22,4.299999999999997,1.3000000000000007,5.9999999999999964,3.0,1.6000000000000014,2.8000000000000007,0.0,1.1,0.7,0.0,0.0,0.0,4.200000000000003,2.1000000000000014,9.699999999999996,1.5999999999999996,0.0,2.0999999999999996,2.0999999999999996,5.400000000000002,0.7999999999999989,1.4000000000000004
2020-03-23,4.300000000000004,3.4000000000000004,5.000000000000007,6.800000000000001,5.299999999999999,0.0,0.8000000000000002,1.0,0.0,0.0,0.0,1.7000000000000002,9.5,0.6999999999999993,16.80000000000001,2.4000000000000004,1.5,2.500000000000001,3.5999999999999996,14.900000000000002,3.700000000000001,0.0
2020-03-24,5.699999999999996,5.499999999999998,5.0,5.199999999999999,2.5999999999999996,1.3000000000000007,0.8999999999999999,0.0,1.2000000000000002,1.6000000000000005,0.0,3.3000000000000007,3.1999999999999957,0.6999999999999993,14.299999999999997,0.0,2.3000000000000007,4.6,5.300000000000001,7.399999999999999,12.799999999999999,3.7
2020-03-25,7.200000000000003,4.100000000000001,11.599999999999994,7.900000000000006,1.6000000000000014,2.799999999999999,2.5000000000000004,4.200000000000001,2.6,1.5999999999999996,0.0,9.899999999999999,7.400000000000006,0.7000000000000028,23.89999999999999,3.0999999999999996,1.5,5.399999999999999,4.0,9.600000000000001,7.399999999999999,3.6999999999999993
2020-03-26,8.499999999999993,2.0,5.0,9.299999999999997,4.800000000000001,2.700000000000001,0.8999999999999995,2.0999999999999996,3.200000000000001,1.5999999999999996,0.0,8.3,5.299999999999997,4.199999999999999,15.5,2.4000000000000004,1.5,7.0000000000000036,3.6999999999999993,9.600000000000001,12.800000000000004,2.200000000000001
2020-03-27,7.200000000000003,3.400000000000002,8.799999999999997,9.0,3.1999999999999993,1.3999999999999986,0.0,3.0999999999999996,1.8999999999999986,0.8000000000000007,0.0,8.3,3.0999999999999943,9.8,9.700000000000017,2.4000000000000004,0.7999999999999989,15.299999999999997,6.400000000000002,8.5,6.700000000000003,0.6999999999999993
