Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-03-11,0.0,0.0,0.0,0.0,0.0,1.0264305876315114,0.42553915811332954,0.0,0.0,0.8910968288091605,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.9603358708792107,0.1710717646052519,0.42553915811332954,0.0,1.0618932038834952,0.3341613108034352,0.0,26.098303610265333,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.3421435292105038,0.8510783162266591,0.0,0.0,0.8910968288091605,0.0,8.699434536755112,0.0,0.0
2020-03-14,1.6230692239023996,4.337642057777392,0.0,1.6132935387593774,0.0,0.0,0.9361861478493251,0.0,0.4550970873786408,0.6683226216068704,0.0,21.748586341887776,2.6437223610844067,0.0
2020-03-15,0.0,1.735056823110957,0.0,0.2688822564598962,1.3068905805861404,0.5132152938157557,0.6808626529813273,0.0,0.9101941747572816,0.3341613108034352,0.0,0.0,0.9613535858488752,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.42553915811332954,0.0,0.6067961165048544,0.11138710360114507,0.0,8.699434536755112,0.4806767929244376,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.6534452902930702,1.0264305876315114,0.42553915811332954,1.5537600994406464,0.1516990291262136,0.11138710360114507,0.0,0.0,0.7210151893866563,0.0
2020-03-18,0.8115346119511998,0.0,0.0,0.2688822564598962,0.9801679354396053,0.0,0.6808626529813273,0.0,0.6067961165048544,0.3341613108034352,0.0,4.349717268377556,0.9613535858488752,0.0
2020-03-19,0.8115346119511998,0.8675284115554786,4.032529067813697,0.2688822564598962,0.6534452902930702,0.0,1.1915096427173228,0.3107520198881293,1.2135922330097089,0.22277420720229013,0.0,34.797738147020446,0.7210151893866563,0.0
2020-03-20,1.0820461492682663,0.8675284115554786,2.688352711875798,0.8066467693796887,1.9603358708792107,0.1710717646052519,1.7021566324533182,0.0,1.2135922330097089,0.5569355180057253,0.0,0.0,0.9613535858488752,0.0
2020-03-21,1.3525576865853328,0.8675284115554786,2.0162645339068486,0.2688822564598962,1.3068905805861404,0.1710717646052519,1.6170488008306525,0.6215040397762586,1.2135922330097089,0.44554841440458026,0.0,0.0,0.7210151893866563,0.0
2020-03-22,1.0820461492682663,0.8675284115554786,2.0162645339068486,0.8066467693796887,0.9801679354396053,0.5132152938157557,1.7021566324533182,0.0,0.0,0.22277420720229013,0.0,0.0,0.9613535858488752,0.0
2020-03-23,2.4346038358535993,0.8675284115554786,1.344176355937899,0.8066467693796887,3.267226451465351,0.1710717646052519,1.8723722956986502,1.2430080795525171,1.3652912621359223,1.4480323468148857,0.0,0.0,2.163045568159969,0.0
2020-03-24,1.893580761219466,0.0,5.376705423751596,1.6132935387593774,0.9801679354396053,0.0,2.6383427803026436,0.3107520198881293,2.578883495145631,1.2252581396125957,0.0,0.0,0.2403383964622188,0.0
2020-03-25,4.328184597073065,2.6025852346664355,3.3604408898447478,1.0755290258395849,5.2275623223445615,0.8553588230262595,3.234097601661305,2.7967681789931635,1.8203883495145632,2.004967864820611,0.0,0.0,2.163045568159969,0.0
2020-03-26,4.598696134390131,6.940227292443828,5.376705423751596,2.9577048210588583,5.2275623223445615,0.3421435292105038,3.148989770038639,2.175264139216905,4.095873786407767,2.5619033828263365,0.0,0.0,4.566429532782157,0.0
2020-03-27,0.27051153731706656,4.337642057777392,5.376705423751596,0.2688822564598962,1.9603358708792107,2.3950047044735268,3.489421096529303,1.2430080795525171,3.9441747572815533,3.118838900832062,0.0,0.0,7.450490290328783,0.0
2020-03-28,4.057673059755999,6.072698880888349,8.737146313596343,2.6888225645989623,4.247394386904956,1.1975023522367634,6.553303034945276,0.9322560596643878,3.7924757281553396,1.3366452432137408,0.0,13.049151805132666,4.806767929244376,0.0
2020-03-29,4.869207671707199,13.012926173332177,2.0162645339068486,1.8821757952192735,0.0,1.710717646052519,2.1276957905666483,1.5537600994406464,2.8822815533980584,4.121322833242368,0.0,0.0,3.364737550471063,0.0
2020-03-30,12.44353071658506,11.27786935022122,7.392969957658445,3.226587077518755,2.9405038063188162,0.6842870584210076,4.085175917887963,0.9322560596643878,1.9720873786407767,2.227742072022901,0.0,0.0,8.652182272639877,0.0
2020-03-31,6.22176535829253,12.145397761776698,12.09758720344109,1.6132935387593774,9.148234064102983,3.421435292105038,8.34056749902126,2.175264139216905,7.1298543689320395,6.794613319669849,0.0,8.699434536755112,8.892520669102096,0.0
2020-04-01,5.951253820975465,8.675284115554785,5.376705423751596,5.377645129197925,4.900839677198026,3.7635788213155417,7.234165687926604,2.175264139216905,6.067961165048543,4.678258351248092,0.0,4.349717268377556,9.613535858488753,0.0
2020-04-02,5.951253820975465,5.205170469332871,2.688352711875798,6.184291898577613,8.494788773809912,3.421435292105038,4.2553915811332965,2.175264139216905,5.461165048543689,5.012419662051528,0.0,0.0,12.737935012497596,0.0
2020-04-03,5.139719209024265,6.072698880888349,12.09758720344109,7.528703180877094,5.554284967491097,7.698229407236336,8.255459667398595,2.175264139216905,8.646844660194175,5.792129387259543,0.0,26.098303610265333,11.055566237262065,0.0
2020-04-04,3.787161522438932,8.675284115554785,3.3604408898447478,6.990938667957302,6.207730257784167,0.6842870584210076,6.1277638768319465,4.039776258545681,7.584951456310679,7.574323044877864,0.0,17.398869073510223,13.699288598346472,0.0
